สนใจ[อาหารญี่ปุ่น],สนใจ[อาหารจึน],สนใจ[อาหารไทย],สนใจ[อาหารอีสาน],สนใจ[อาหารสุขภาพ],สนใจ[บุฟเฟต์],สนใจ[ชาบูชาบู],สนใจ[ปิ้งย่าง],สนใจ[เหล้าเบียร์],สนใจ[เสื้อผ้าแฟชั่น],สนใจ[แต่งหน้า],สนใจ[skincare บำรุงผิว],สนใจ[การออกกำลังกาย],สนใจ[การเล่นเกมส์],สนใจ[การท่องเที่ยว],สนใจ[การอ่านหนังสือ],สนใจ[การอ่านบทความ Online],สนใจ[การเรียน e-learning],สนใจ[ดู Series],สนใจ[ดูหนัง],สนใจ[ดู Youtube],สนใจ[ดู Netflix],สนใจ[Content ด้านบันเทิง],สนใจ[Content เกี่่ยวกับเกมส์],สนใจ[Content เกี่ยวกับการ review ร้านอาหาร],สนใจ[Content เกี่ยวกับการท่องเที่ยว],สนใจ[Content เกี่ยวกับการแต่งบ้าน],สนใจ[Content เกี่ยวกับการโทรทัศน์],สนใจ[Content เกี่ยวกับละคร],สนใจ[Content เกี่ยวกับการเมือง],บริโภค[อาหารญี่ปุ่น],บริโภค[อาหารจึน],บริโภค[อาหารไทย],บริโภค[อาหารอีสาน],บริโภค[อาหารสุขภาพ],บริโภค[บุฟเฟต์],บริโภค[ชาบูชาบู],บริโภค[ปิ้งย่าง],บริโภค[เหล้าเบียร์],บริโภค[เสื้อผ้าแฟชั่น],บริโภค[แต่งหน้า],บริโภค[skincare บำรุงผิว],บริโภค[การออกกำลังกาย],บริโภค[การเล่นเกมส์],บริโภค[การท่องเที่ยว],บริโภค[การอ่านหนังสือ],บริโภค[การอ่านบทความ Online],บริโภค[การเรียน e-learning],บริโภค[ดู Series],บริโภค[ดูหนัง],บริโภค[ดู Youtube],บริโภค[ดู Netflix],บริโภค[Content ด้านบันเทิง],บริโภค[Content เกี่่ยวกับเกมส์],บริโภค[Content เกี่ยวกับการ review ร้านอาหาร],บริโภค[Content เกี่ยวกับการท่องเที่ยว],บริโภค[Content เกี่ยวกับการแต่งบ้าน],บริโภค[Content เกี่ยวกับการโทรทัศน์],บริโภค[Content เกี่ยวกับละคร],บริโภค[Content เกี่ยวกับการเมือง],นอกเหนือจากรายการดังกล่าวแล้ว คุณมีความสนใจในเรื่องใดอีกบ้าง,Year,Month,Day,เพศ,อายุ,Rangeอายุ
สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,Content เกี่ยวกับกีฬา (ฟุตบอล),1988,9,13,ชาย,32,30-39
สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,เฉยๆ,ไม่สนใจอย่างมากที่สุด,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบทุกวัน,แทบทุกวัน,หลายเดือนครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,content ข่าวปัจจุบัน,1996,5,4,หญิง,24,20-29
สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,เฉยๆ,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,-,1996,3,20,หญิง,24,20-29
สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,"การช่วยเหลือสังคม, ชา และ กาแฟ",1985,11,27,หญิง,35,30-39
เฉยๆ,ไม่สนใจ,สนใจ,สนใจ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจ,สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,ไม่สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เศรษฐกิจ,1984,7,31,ชาย,36,30-39
สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,ไม่สนใจอย่างมาก,สนใจอย่างมาก,อาทิตย์ละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,"รถยนต์/ไฟฟ้า, หุ้น, นาฬิกา, Gadgets, สัตว์เลี้ยง, Out Door Sports ",1993,9,22,ชาย,27,20-29
สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,ไม่สนใจ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจอย่างมาก,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,ไม่มี,1991,10,30,ชาย,29,20-29
สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,เดือนละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,รถยนต์ บ้าน คอนโด,1985,5,22,หญิง,35,30-39
สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,ไม่สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,"สนใจเรื่องของเทคโนโลยีใหม่ๆ เช่น มือถือ หูฟัง และฟั
เพลงใหม่ๆ",1988,2,6,หญิง,32,30-39
สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,ไม่สนใจ,เฉยๆ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,ไม่สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจ,เฉยๆ,ไม่สนใจ,ไม่สนใจ,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เทคโนโลยี,1998,11,18,หญิง,22,20-29
สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,ไม่สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจ,สนใจ,ไม่สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,เฉยๆ,ไม่สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,เฉยๆ,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละ 2-3 ครั้ง,Content เกี่ยวกับ Technical Knowledge,1980,3,17,ชาย,40,30-39
สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจ,เฉยๆ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจ,สนใจ,ไม่สนใจ,ไม่สนใจ,สนใจ,เดือนละ 2-3 ครั้ง,แทบไม่ได้บริโภคเลย,แทบทุกวัน,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,อาทิตย์ละครั้ง,"งานวิ่งมาราธอน , คอนเสิร์ต , music festival",1996,2,4,ชาย,24,20-29
สนใจอย่างมากที่สุด,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,ไม่สนใจอย่างมาก,สนใจ,สนใจ,สนใจ,เฉยๆ,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมาก,เฉยๆ,สนใจอย่างมากที่สุด,สนใจ,สนใจ,เฉยๆ,ไม่สนใจ,เฉยๆ,ไม่สนใจอย่างมาก,เดือนละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,หลายเดือนครั้ง,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,วาดรูป,1987,12,9,หญิง,33,30-39
สนใจอย่างมากที่สุด,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมาก,สนใจ,ไม่สนใจอย่างมากที่สุด,ไม่สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจ,สนใจอย่างมากที่สุด,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมาก,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมากที่สุด,แทบทุกวัน,เดือนละครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,เดือนละ 2-3 ครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,แทบทุกวัน,เดือนละครั้ง,หลายเดือนครั้ง,เดือนละ 2-3 ครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,หลายเดือนครั้ง,แทบทุกวัน,หุ้น,1994,3,25,ชาย,26,20-29
เฉยๆ,สนใจอย่างมาก,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,เฉยๆ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจอย่างมาก,สนใจ,ไม่สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจ,ไม่สนใจอย่างมาก,ไม่สนใจ,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบทุกวัน,เดือนละครั้ง,เดือนละครั้ง,เดือนละ 2-3 ครั้ง,แทบทุกวัน,หลายเดือนครั้ง,เดือนละครั้ง,แทบทุกวัน,แทบทุกวัน,เดือนละครั้ง,อาทิตย์ละครั้ง,เดือนละครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,เดือนละครั้ง,เดือนละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,เป็นติ่งดาราจีน ดูผู้ชายจีนหล่อๆทุกวัน มีงานวิจัยบอกว่า ถ้ามองรูปคนหล่อ จะทำให้สมองพัฒนาและฉลาดขึ้น (ไม่แน่ใจว่าจริงไหม เลยเปิดดูรูป ผช ทุกวันเลยค่ะ) ,1989,5,22,หญิง,31,30-39
สนใจ,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,เฉยๆ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจ,เฉยๆ,สนใจ,สนใจอย่างมากที่สุด,ไม่สนใจ,สนใจ,สนใจอย่างมาก,สนใจอย่างมาก,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมากที่สุด,สนใจอย่างมาก,สนใจ,สนใจอย่างมากที่สุด,ไม่สนใจ,เฉยๆ,เฉยๆ,เฉยๆ,สนใจอย่างมาก,สนใจอย่างมากที่สุด,เฉยๆ,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,เดือนละ 2-3 ครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบไม่ได้บริโภคเลย,หลายเดือนครั้ง,อาทิตย์ละครั้ง,แทบไม่ได้บริโภคเลย,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,แทบทุกวัน,แทบไม่ได้บริโภคเลย,เดือนละครั้ง,หลายเดือนครั้ง,หลายเดือนครั้ง,แทบทุกวัน,แทบทุกวัน,อาทิตย์ละครั้ง,เรื่องเกี่ยวกับ ตลกขบขัน และ ธรรมะ,1973,12,4,หญิง,47,40
